title,speciality,description,technologies,full_text,source
Ai Translator,Программная инженерия,"Курсовая работа по дисциплине ""Методы искусственного интеллекта"" (01.03.04 Прикладная математика, НИТУ МИСИС)",Python,"# AI-traslator
Приложение для распознавания текста на полученном от пользователя изображении (фотографии уличной вывески) и перевода его на русский язык (при необходимости). Выполнено в качестве курсовой работы по дисциплине ""Методы искусственного интеллекта"" в рамках обучения по программе 01.03.04 Прикладная математика в НИТУ МИСИС.
## Стэк использованных инструментов
* язык программирования: **Python**;
* библиотека для написания пользовательского интерфейса: **PySimpleGUI** [1];
* ввод-вывод изображений: **OpenCV** [2];
* распознавание текста на изображении: **EasyOCR** [3];
* машинный перевод распознанного текста на русский: **TextBlob** [4];
* редактор кода: **VS Code**.
## Последовательность шагов работы с приложением
1. Пользователь указывает расположение фотографии, на которой необходимо распознать и перевести текст (программа поддерживает форматы изображений JPG, JPEG и PNG).
2. Пользователь указывает язык текста, который необходимо распознать на данной фотографии (поддерживаемые языки: русский, английский, испанский, немецкий и французский).
3. Если указанный язык – русский, то в текстовом окне появляется распознанный текст, а также отображается фотография с обведенными на ней участками, содержащими этот текст.
4. Если указанный язык не русский, в текстовом окне появляется переведенный текст, а также отображается фотография с обведенными на ней участками, содержащими иностранный текст, и подписями на русском языке рядом.
## Демонстрация работы приложения
Запустив программу, пользователь попадает в основное меню:

![Начальный экран приложения](https://github.com/Ilyaant/AI-translator/assets/21258800/ee7c485c-b539-4565-92fa-1902618a3fe2)

При нажатии на кнопку «Помощь», появляется окно с краткими пояснениями по работе с приложением:

![Окно ""Помощь""](https://github.com/Ilyaant/AI-translator/assets/21258800/f4ae775a-02f2-49a1-92ce-0c0ec07a8960)

В раскрывающемся списке основного окна приложения можно выбрать один из пяти доступных для распознавания языков: русский, английский, испанский, немецкий, французский. Русский язык – вариант по умолчанию:

![Выбор языка распознавания текста](https://github.com/Ilyaant/AI-translator/assets/21258800/33d7ce19-6bd8-485d-90f8-7a62acb9636b)

Рассмотрим результат работы приложения для фотографии с текстом на русском языке: укажем путь к файлу, нажмем кнопку «Начать» и получим результат:

![Выбор файла](https://github.com/Ilyaant/AI-translator/assets/21258800/cd4157cb-8f9c-4b2e-b971-b084b5ae31c6)

![Результат работы программы для вывески с русскоязычным текстом](https://github.com/Ilyaant/AI-translator/assets/21258800/af788324-8461-4498-b7e7-c49b619afa2b)

Рассмотрим теперь результат работы приложения для фотографии с текстом на испанском языке: укажем путь к файлу и выберем испанский язык, нажмем кнопку «Начать» и получим результат:

![Выбор файла и испанского языка распознавания](https://github.com/Ilyaant/AI-translator/assets/21258800/a27627ba-5cae-40d7-85cc-2fc0a5e94d9a)

![Результат работы программы для вывески с текстом на испанском языке](https://github.com/Ilyaant/AI-translator/assets/21258800/e9d09471-fbd7-4072-9ba6-891f56b4a400)

Для вывесок на иностранных языках в качестве результата отображается картинка с не только обведенным текстом, но и подписями на русском языке.

## Ссылки на использованные ресурсы
1. PySimpleGUI URL: https://www.pysimplegui.org/en/latest/.
2. Home - OpenCV URL: https://opencv.org/.
3. JaidedAI / EasyOCR: Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc. // GitHub URL: https://github.com/JaidedAI/EasyOCR.
4. TextBlob: Simplified Text Processing - TextBlob 0.16.0 Documentation URL: https://textblob.readthedocs.io/en/dev/.
",GitHub
Coursework Mathematical Statistics,Программная инженерия,В данном репозитория представлена курсовая работа по мат.статистике с использование языка программирования python 3 и JupiterNotebook,,"# coursework_mathematical_statistics
В данном репозитория представлена курсовая работа по мат.статистике с использование языка программирования python 3 и JupiterNotebook

1. Используя подходящую функцию (датчик псевдослучайных чисел, 
распределенных по указанному в Таблице закону; параметры распределения  
указанны там же),  получить выборки объема V1,  V2  и V3. Для каждой 
выборки вычислить выборочную оценку среднего, смещенную и 
несмещенную выборочные оценки дисперсии; сравнить оценки с 
теоретическими (истинными) значениями мат.ожидания и дисперсии 
моделируемой с.в.   Для выборки объема V3 подобрать наилучшую 
группировку и построить гистограмму.
2. Методом суммирования получить выборки объема V1 /k, V2 /k и V3 /k 
(k=12) из нормального распределения с указанными параметрами. 
3. Для каждой выборки, полученной в п.2, вычислить выборочные 
оценки среднего, дисперсии, коэффициента асимметрии и эксцесса. 
Сравнить полученные оценки с теоретическими значениями. 
4. Для каждой выборки из п. 2 вывести в одном графическом окне 
эмпирическую функцию распределения и теоретическую функцию 
распределения. Подобрать для каждой выборки наилучшую группировку и 
построить в одном графическом окне нормированную гистограмму и 
плотность распределения вероятностей.
5. Повторить  многократно (~ 100 ) процесс моделирования выборки из 
нормального распределения объема V1 /k  и получить усредненные значения 
выборочных оценок (см. п.3). 
",GitHub
Parser Edsl Python,Программная инженерия,Курсовая работа Даниэлы Обущаровой 2023,Python,"# Библиотека на Python для написания парсеров компиляторов

Данная библиотека позволяет описать в исходном тексте программы лексические
домены при помощи регулярных выражений и грамматику языка в БНФ-подобном
стиле.

Тестовый пример — см. [test.py](test.py).

Исходно это курсовая работа Даниэлы Обущаровой 2023 года. В 2024 году была
сделана попытка расширить возможности библиотеки Георгием Гречко — попытка
неудачная (код не отлажен), находится в отдельной ветке `georgre4ko-main`.

В 2025 году Диасом Исаковым (тоже в рамках курсовой) библиотека была успешно
расширена алгоритмом предсказывающего разбора, алгоритмом Эрли и метками
приоритета и ассоциативности для LALR(1) —
см. [Записка Исакова 2025.pdf](Записка Исакова 2025.pdf).
",GitHub
Rentlypython,Программная инженерия,Курсовая работа,Python,,GitHub
Kursovaya Python,Программная инженерия,Курсовая работа,HTML,"
Курсовая работа

![srcreenshot](1.png)
![srcreenshot](2.png)
",GitHub
Course Work Python,Программная инженерия,Курсовая работа,HTML,"# Course_work_Python
Курсовая работа

![srcreenshot](1.png)
![srcreenshot](2.png)
",GitHub
Nesterenkoveronika Python,Программная инженерия,Курсовая работа ,,,GitHub
Pythoncoursework2,Программная инженерия,Курсовая работа 2,Python,,GitHub
Biblioteka,Программная инженерия,Курсовая работа Python,Python,,GitHub
Uni Python,Программная инженерия,Курсовая работа по ООП,Python,,GitHub
Weather App Python,Программная инженерия,"Курсовая работа (фриланс, PyCharm) ",Python,"# Weather_app_Python
Курсовая работа (фриланс, PyCharm) 
",GitHub
Priemnayakomissiyaonpython,Программная инженерия,Курсовая работа по ООП,Python,"# PriemnayaKomissiyaOnPython
Курсовая работа по ООП
",GitHub
Skypro Python Dev Cw 2,Программная инженерия,Типа курсовая работа №2,HTML,"# Курсовая работа №2

## Цель

Создание небольшого сервиса, похожего на соцсеть типа ""Instagram""
Система состоит из:
- **Лента** 
- **Подробный пост** 
- **Поиск**
- **Все посты пользователя (версия со звездочкой)**
- **Посты по тегу (версия со звездочкой)**
- **Закладки (версия со звездочкой)**
---
Основные методы класса находятся в файле utils.py

---
Необходимые зависимости описаны в requirements.txt
",GitHub
Systolic Array Emulation,Программная инженерия,"Курсовая работа, Python, 2024",Python,,GitHub
Transpozon,Программная инженерия,Курсовая работа для модуля Django,Python,,GitHub
Ssw Backend Django,Программная инженерия,Курсовая работа по Backend-разработке,Python,,GitHub
Coworking Website,Программная инженерия,Курсовая работа по управлению проектами.,HTML,"# Курсовая работа по управлению проектами

### Инструкция по рабочему процессу для contributors

### 1. Скачиваем себе репозиторий в первый раз
* Заходим в [наш репозиторий](https://github.com/ovsyannikovas/coworking_website)
* Нажимаем **Code** и копируем ссылку
* Открываем консоль в папке, где хотите, чтобы находилась папка с репозиторием
* `git clone скопированная_ссылка`

### 2. Загружаем последнюю версию репозитория к себе на ветку
* Переходим в папку скачанного репозитория
* Открываем консоль
* `git checkout ваша_ветка`
* `git pull --no-commit origin main`

### 3. Загружаем изменения на свою ветку
Перед выполнением пункта убедитесь, что на вашей ветке последняя версия репозитория (пункт 2)!
* Переходим в папку скачанного репозитория
* Открываем консоль
* `git checkout ваша_ветка`
* `git add *`
* Проверяем командой `git status`, что добавились только нужные файлы
* `git commit -m ""что_добавлено""`
* `git push origin ваша_ветка`

### 4. Загружаем изменения из своей ветки в `main`
* Заходим в [наш репозиторий](https://github.com/ovsyannikovas/coworking_website)
* Заходим в **Pull requests**
* Нажимаем **New pull request**
* Выбираем **base:main -> compare:ваша_ветка**
* Нажимаем **Create pull request**
* Содержательно заполняем форму согласно шаблону (в поле title, где, скорее всего, стоит имя вашей ветки, продублируйте ""Что изменилось (кратко)?"")
",GitHub
Newsletter Service,Программная инженерия,"Курсовая работа ""Сервис рассылок"". Реализация с использованием django.",Python,,GitHub
Bookshop,Программная инженерия,"Курсовая работа по дисциплине ""Проектирование Интернет-приложений"". Создание веб-приложения по продаже книг.",Python,"Создание веб-приложения по продаже книг. Для создания веб-приложения использовался язык программирования Python и фреймворк Django. В качестве базы данных был выбран MySQL.

Были выделены три роли: администратор, авторизованный и неавторизованный пользователь. К каждой роли были предъявлены функциональные требования, представленные на изображениях ниже:

![alt text](screenshots/UC_1.png ""Диаграмма использования пользователей"")

![alt text](screenshots/UC_2.png ""Диаграмма использования администратора"")

Логическая модель базы данных выглядит следующим образом:

![alt text](screenshots/DB.png ""Логическая модель базы данных"")
",GitHub
Django,Программная инженерия,Курсовая работа на Django,Python,,GitHub
Django Structure,Программная инженерия,Курсовая работа,JavaScript,,GitHub
Course Work Django,Программная инженерия,Моя курсовая работа,CSS,,GitHub
Django,Программная инженерия,"Курсовая работа по теме ""Основы Django""",HTML,,GitHub
Magistratura Dashboard Django,Программная инженерия,Курсовая работа Django (Python),Python,,GitHub
Djangorest Api,Программная инженерия,курсовая работа 2.1 МПУ ,Python,,GitHub
Kyrsovaya Mironov Django,Программная инженерия,Курсовая работа 3 курс,Python,"# kyrsovaya-mironov-django
Курсовая работа 3 курс
",GitHub
